Alloy_System,Coating_Type,Chemical_Species,pH,Temperature_C,Humidity_%,Exposure_Duration_days,Flow_Condition,Stress_State,Corrosion_Rate_mpy
Carbon Steel,Chromium Coating,Chloride,12,65,95,667,Static,High,68.91959305
Carbon Steel,Polymer Coating,Sulfate,12,95,80,1295,Dynamic,Low,64.21598479
Carbon Steel,Paint Coating,Sulfate,11,45,100,372,Dynamic,Low,60.16346287
Carbon Steel,Polymer Coating,Carbonate,11,25,100,1282,Dynamic,High,49.70187509
Carbon Steel,Polymer Coating,Mixed,2,30,100,892,Dynamic,High,49.46058782
Carbon Steel,Paint Coating,Chloride,12,45,60,1023,Dynamic,Moderate,47.93065602
Carbon Steel,Phosphate Conversion,Sulfate,11,50,85,820,Static,High,47.72076604
Carbon Steel,Zinc Coating,Nitrate,11,100,95,1093,Static,Low,46.41975565
Carbon Steel,Paint Coating,Carbonate,3,65,70,1523,Dynamic,High,44.21052561
Aluminum Alloy,Nickel Coating,Chloride,12,60,95,3492,Dynamic,High,43.80459902
Carbon Steel,Nickel Coating,Chloride,5,65,55,2344,Dynamic,High,42.13665791
Carbon Steel,Polymer Coating,Chloride,7,-5,100,33,Dynamic,High,39.82828537
Carbon Steel,Nickel Coating,Chloride,5,80,65,1567,Dynamic,Moderate,38.03113265
Carbon Steel,Anodized Coating,Sulfate,11,80,50,3250,Static,High,35.83237066
Carbon Steel,Phosphate Conversion,Mixed,2,90,100,19,Static,Moderate,35.33850159
Carbon Steel,Zinc Coating,Chloride,6,75,90,2988,Static,Moderate,34.91577798
Carbon Steel,Anodized Coating,Carbonate,6,95,80,2990,Dynamic,High,34.87703862
Carbon Steel,Chromium Coating,Mixed,11,65,80,2498,Dynamic,Moderate,34.19385384
Carbon Steel,Phosphate Conversion,Carbonate,11,75,75,1013,Dynamic,Low,34.07578884
Carbon Steel,Nickel Coating,Chloride,2,5,85,2176,Static,Low,33.9811384
Carbon Steel,Phosphate Conversion,Nitrate,3,90,65,2688,Dynamic,Low,33.9216547
Carbon Steel,Zinc Coating,Carbonate,2,70,85,226,Dynamic,Low,33.50133218
Carbon Steel,Anodized Coating,Chloride,7,90,50,755,Dynamic,High,33.27392652
Carbon Steel,Chromium Coating,Nitrate,12,75,60,3297,Static,High,33.21032756
Carbon Steel,Polymer Coating,Carbonate,9,90,100,2444,Dynamic,Moderate,32.5930249
Carbon Steel,Chromium Coating,Chloride,11,100,35,2059,Static,High,32.52001955
Carbon Steel,Anodized Coating,Carbonate,11,45,95,793,Dynamic,Low,31.77168001
Carbon Steel,Phosphate Conversion,Sulfate,10,80,70,2588,Dynamic,High,31.64239556
Carbon Steel,Nickel Coating,Chloride,7,50,70,1721,Static,High,31.42067289
Carbon Steel,Chromium Coating,Chloride,11,95,35,2420,Static,Moderate,31.40379841
Aluminum Alloy,Zinc Coating,Chloride,7,95,90,1209,Dynamic,High,30.20660699
Carbon Steel,Anodized Coating,Carbonate,11,55,95,1222,Dynamic,Low,29.94963646
Aluminum Alloy,Phosphate Conversion,Chloride,12,75,85,2737,Dynamic,Low,29.57184205
Carbon Steel,Polymer Coating,Nitrate,12,25,50,3019,Dynamic,High,29.45803849
Carbon Steel,Anodized Coating,Carbonate,4,90,95,1453,Dynamic,High,28.6709935
Carbon Steel,Anodized Coating,Chloride,3,10,35,1241,Dynamic,High,28.60965449
Copper Alloy,Phosphate Conversion,Chloride,11,85,80,1258,Dynamic,High,28.30484964
Aluminum Alloy,Nickel Coating,Chloride,12,100,85,1572,Static,Low,28.1778267
Carbon Steel,Anodized Coating,Sulfate,10,70,90,925,Static,Moderate,27.54144501
Aluminum Alloy,Zinc Coating,Sulfate,12,45,100,3085,Dynamic,Moderate,27.52832273
Carbon Steel,Anodized Coating,Nitrate,12,25,80,3603,Dynamic,Low,27.25850648
Carbon Steel,Zinc Coating,Nitrate,3,85,40,556,Static,High,25.87252764
Aluminum Alloy,Anodized Coating,Nitrate,12,90,90,3428,Dynamic,Moderate,25.60366365
Carbon Steel,Paint Coating,Nitrate,4,40,85,1004,Static,High,25.50047275
Carbon Steel,Nickel Coating,Mixed,3,15,85,880,Dynamic,Low,25.4530346
Carbon Steel,Chromium Coating,Chloride,6,45,65,1236,Static,Moderate,25.44312238
Aluminum Alloy,Anodized Coating,Chloride,12,80,90,2977,Dynamic,Low,25.37997032
Carbon Steel,Chromium Coating,Carbonate,2,60,65,2117,Static,High,25.32150472
Carbon Steel,Polymer Coating,Chloride,4,15,100,2608,Static,Moderate,25.16740635
Aluminum Alloy,Chromium Coating,Chloride,6,95,95,1166,Dynamic,High,24.90587848
Carbon Steel,Polymer Coating,Nitrate,10,35,100,2685,Dynamic,Low,24.13300062
Carbon Steel,Nickel Coating,Nitrate,12,100,50,25,Dynamic,Low,23.87277395
Carbon Steel,Paint Coating,Carbonate,12,0,85,2667,Dynamic,Moderate,23.67328708
Carbon Steel,Phosphate Conversion,Sulfate,10,-5,95,1006,Dynamic,Moderate,23.61462145
Carbon Steel,Nickel Coating,Chloride,10,45,35,2579,Dynamic,High,23.46598337
Carbon Steel,Chromium Coating,Nitrate,9,85,70,319,Dynamic,Moderate,23.0434657
Carbon Steel,Chromium Coating,Sulfate,6,45,85,2179,Static,High,22.76077939
Aluminum Alloy,Anodized Coating,Chloride,11,70,65,3521,Dynamic,Moderate,22.08866428
Carbon Steel,Paint Coating,Chloride,8,15,70,3171,Static,Moderate,21.81406883
Copper Alloy,Nickel Coating,Sulfate,11,55,100,188,Dynamic,Moderate,21.66633081
Carbon Steel,Polymer Coating,Nitrate,2,70,35,3434,Dynamic,Moderate,21.38247986
Aluminum Alloy,Nickel Coating,Mixed,11,85,95,3571,Dynamic,High,21.31294796
Carbon Steel,Anodized Coating,Mixed,6,80,90,1509,Dynamic,Low,21.23989457
Carbon Steel,Anodized Coating,Chloride,12,90,30,3300,Static,Low,21.09822535
Aluminum Alloy,Polymer Coating,Chloride,4,75,90,1469,Dynamic,High,20.76114191
Carbon Steel,Anodized Coating,Sulfate,11,-15,90,3628,Static,Low,20.6622112
Carbon Steel,Chromium Coating,Mixed,11,85,40,955,Dynamic,Low,20.6426472
Carbon Steel,Anodized Coating,Carbonate,6,60,80,290,Dynamic,Moderate,20.62323517
Carbon Steel,Phosphate Conversion,Nitrate,4,35,90,2215,Dynamic,Low,20.58669788
Carbon Steel,Polymer Coating,Chloride,10,5,95,2533,Static,Low,20.41657611
Aluminum Alloy,Chromium Coating,Chloride,12,95,65,3486,Dynamic,Low,19.98626617
Carbon Steel,Zinc Coating,Carbonate,6,80,80,3098,Dynamic,Moderate,19.71497427
Carbon Steel,Zinc Coating,Nitrate,5,60,65,1802,Static,High,19.6882918
Copper Alloy,Anodized Coating,Sulfate,3,70,90,1222,Static,High,19.42766163
Copper Alloy,Zinc Coating,Chloride,3,85,70,2938,Dynamic,Low,19.18575891
Carbon Steel,Phosphate Conversion,Sulfate,10,100,50,3142,Dynamic,Low,18.92444851
Carbon Steel,Phosphate Conversion,Chloride,9,40,30,2972,Dynamic,High,18.7103426
Carbon Steel,Chromium Coating,Carbonate,4,15,95,692,Dynamic,High,18.69874229
Carbon Steel,Phosphate Conversion,Mixed,11,20,50,3163,Dynamic,Moderate,18.63838308
Carbon Steel,Phosphate Conversion,Sulfate,5,20,60,464,Static,High,18.60051085
Copper Alloy,Nickel Coating,Chloride,2,95,60,2235,Static,High,18.57684061
Carbon Steel,Phosphate Conversion,Sulfate,5,-5,65,3468,Dynamic,High,18.0677473
Stainless Steel,Zinc Coating,Chloride,11,90,75,161,Static,High,17.95981856
Carbon Steel,Phosphate Conversion,Carbonate,3,-10,80,261,Dynamic,Moderate,17.91634636
Aluminum Alloy,Nickel Coating,Chloride,3,95,40,220,Dynamic,Moderate,17.73752527
Carbon Steel,Anodized Coating,Nitrate,6,55,90,2888,Dynamic,Low,17.6498807
Carbon Steel,Chromium Coating,Mixed,8,45,90,3593,Dynamic,Low,17.52973945
Aluminum Alloy,Paint Coating,Sulfate,11,35,75,3145,Static,High,17.35000139
Carbon Steel,Chromium Coating,Chloride,8,35,60,3057,Dynamic,Low,17.29592571
Carbon Steel,Nickel Coating,Carbonate,11,15,50,581,Dynamic,Moderate,17.26134429
Copper Alloy,Zinc Coating,Nitrate,11,40,95,1937,Dynamic,High,17.25376967
Stainless Steel,Zinc Coating,Chloride,3,85,100,378,Static,High,17.19200698
Aluminum Alloy,Chromium Coating,Chloride,6,85,75,2628,Dynamic,Low,17.00966957
Aluminum Alloy,Chromium Coating,Nitrate,2,90,90,2349,Static,Low,16.14421427
Carbon Steel,Nickel Coating,Sulfate,9,85,55,830,Static,Moderate,16.00655819
Carbon Steel,Polymer Coating,Nitrate,5,0,80,3416,Static,High,15.82945928
Carbon Steel,Zinc Coating,Mixed,2,35,40,1525,Dynamic,High,15.72034036
Carbon Steel,Anodized Coating,Carbonate,8,75,70,693,Dynamic,Moderate,15.69475114
Carbon Steel,Zinc Coating,Chloride,5,30,45,3002,Dynamic,Moderate,15.59856231
Copper Alloy,Nickel Coating,Chloride,3,85,45,3131,Dynamic,Moderate,15.53425451
Carbon Steel,Paint Coating,Sulfate,9,80,35,194,Dynamic,Moderate,15.40467777
Aluminum Alloy,Zinc Coating,Chloride,6,90,85,916,Static,Moderate,15.37272304
Stainless Steel,Nickel Coating,Chloride,11,100,65,2137,Dynamic,High,15.37171733
Aluminum Alloy,Anodized Coating,Sulfate,12,70,90,556,Static,Low,15.28262471
Aluminum Alloy,Chromium Coating,Chloride,2,45,60,1934,Dynamic,Low,15.27793857
Carbon Steel,Nickel Coating,Chloride,7,25,45,3131,Static,High,15.23119711
Carbon Steel,Chromium Coating,Mixed,8,100,45,1914,Static,High,15.16029628
Carbon Steel,Anodized Coating,Carbonate,8,45,50,3051,Dynamic,High,15.07682844
Aluminum Alloy,Paint Coating,Chloride,9,90,90,1026,Static,Low,14.97006122
Copper Alloy,Polymer Coating,Nitrate,2,35,100,787,Dynamic,Moderate,14.90675468
Carbon Steel,Polymer Coating,Nitrate,8,85,40,3642,Dynamic,Moderate,14.84764054
Carbon Steel,Polymer Coating,Mixed,8,85,75,2156,Static,Low,14.70531529
Aluminum Alloy,Anodized Coating,Chloride,12,-10,75,814,Dynamic,Low,14.68207045
